Date,High,Low,Open,Close,Volume,Adj Close
2015-10-19,10.752330780029297,9.578292846679688,10.752330780029297,9.618976593017578,2721200.0,8.528105735778809
2015-10-20,9.839835166931152,9.44461441040039,9.44461441040039,9.804963111877441,1220800.0,8.693000793457031
2015-10-21,10.083942413330078,9.531795501708984,10.025821685791016,9.578292846679688,135200.0,8.492037773132324
2015-10-22,9.90958023071289,9.438802719116211,9.711970329284668,9.851459503173828,189200.0,8.734223365783691
2015-10-23,10.025821685791016,9.793338775634766,10.025821685791016,9.88051986694336,102900.0,8.759988784790039
2015-10-26,9.944453239440918,9.479487419128418,9.944453239440918,9.54341983795166,885600.0,8.461118698120117
2015-10-27,9.735218048095703,9.0668306350708,9.624789237976074,9.142387390136719,1094200.0,8.105566024780273
2015-10-28,9.502735137939453,9.20922565460205,9.241191864013672,9.462051391601562,509700.0,8.388980865478516
2015-10-29,9.456238746643066,9.03777027130127,9.30512523651123,9.270252227783203,499600.0,8.2189302444458
2015-10-30,9.357433319091797,8.555368423461914,9.241191864013672,8.555368423461914,4214100.0,7.585120677947998
2015-11-02,8.816910743713379,8.055529594421387,8.71229362487793,8.421689987182617,70312600.0,7.466602802276611
2015-11-03,8.549555778503418,7.948006629943848,8.177583694458008,8.3461332321167,69176300.0,7.399615287780762
2015-11-04,8.433314323425293,7.910228252410889,8.363569259643555,7.93928861618042,54241800.0,7.038910388946533
2015-11-05,8.072966575622559,7.625436782836914,7.927664279937744,7.718430042266846,38179900.0,6.8430986404418945
2015-11-06,8.415878295898438,7.6428728103637695,7.660309314727783,8.36938190460205,51702600.0,7.420227527618408
2015-11-09,8.415878295898438,8.212455749511719,8.288012504577637,8.253140449523926,30158000.0,7.317169189453125
2015-11-10,8.392629623413086,8.14271068572998,8.212455749511719,8.37519359588623,25426000.0,7.425380229949951
2015-11-11,8.317072868347168,8.189207077026367,8.253140449523926,8.200831413269043,18942200.0,7.270792007446289
2015-11-12,8.032281875610352,7.898603916168213,8.026469230651855,7.962536811828613,35050600.0,7.059521675109863
2015-11-13,7.997409343719482,7.6428728103637695,7.910228252410889,7.782362461090088,25678400.0,6.899780750274658
2015-11-16,7.910228252410889,7.637060642242432,7.77073860168457,7.77655029296875,23712100.0,6.894627571105957
2015-11-17,7.84048318862915,7.625436782836914,7.77655029296875,7.683557510375977,21370500.0,6.812180995941162
2015-11-18,7.979972839355469,7.665539741516113,7.8346710205078125,7.927664279937744,22402400.0,7.0286054611206055
2015-11-19,8.072966575622559,7.857919692993164,7.863731384277344,8.009033203125,22662200.0,7.10074520111084
2015-11-20,8.503059387207031,7.9509124755859375,8.009033203125,8.258952140808105,31932300.0,7.322321891784668
